category,image,model,roi_id,area_px,mean_intensity,gap_with_prev_roi
---,CATEGORY: CONVERGING LINES,---,---,---,---,---
---,CATEGORY: CONVERGING LINES,---,---,---,---,---
Converging Lines,cmp_TOP_BOTTOM_bias.png,orig,1,5329,143.89,0.0
Converging Lines,cmp_TOP_BOTTOM_bias.png,v1,1,5329,65.2,0.0
Converging Lines,cmp_TOP_BOTTOM_bias.png,v2,1,5329,59.87,0.0
Converging Lines,cmp_TOP_BOTTOM_bias.png,v3,1,5329,108.95,0.0
Converging Lines,cmp_TOP_BOTTOM_bias.png,orig,2,4352,145.47,1.58
Converging Lines,cmp_TOP_BOTTOM_bias.png,v1,2,4352,32.54,32.66
Converging Lines,cmp_TOP_BOTTOM_bias.png,v2,2,4352,39.64,20.23
Converging Lines,cmp_TOP_BOTTOM_bias.png,v3,2,4352,115.35,6.4
---,CATEGORY: CONVERGING LINES,---,---,---,---,---
Converging Lines,cmp_flat_grid.png,orig,1,11016,100.99,0.0
Converging Lines,cmp_flat_grid.png,v1,1,11016,96.0,0.0
Converging Lines,cmp_flat_grid.png,v2,1,11016,56.84,0.0
Converging Lines,cmp_flat_grid.png,v3,1,11016,88.7,0.0
Converging Lines,cmp_flat_grid.png,orig,2,17664,97.92,3.07
Converging Lines,cmp_flat_grid.png,v1,2,17664,49.33,46.67
Converging Lines,cmp_flat_grid.png,v2,2,17664,5.13,51.71
Converging Lines,cmp_flat_grid.png,v3,2,17664,81.51,7.19
Converging Lines,cmp_hallway.jpg,orig,1,1088,118.67,0.0
Converging Lines,cmp_hallway.jpg,v1,1,1088,110.18,0.0
Converging Lines,cmp_hallway.jpg,v2,1,1088,111.27,0.0
Converging Lines,cmp_hallway.jpg,v3,1,1088,224.59,0.0
Converging Lines,cmp_hallway.jpg,orig,2,682,97.1,21.57
Converging Lines,cmp_hallway.jpg,v1,2,682,3.29,106.89
Converging Lines,cmp_hallway.jpg,v2,2,682,0.95,110.32
Converging Lines,cmp_hallway.jpg,v3,2,682,28.83,195.76
Converging Lines,cmp_TOP_BOTTOM_bias.png,orig,1,4950,141.52,0.0
Converging Lines,cmp_TOP_BOTTOM_bias.png,v1,1,4950,63.44,0.0
Converging Lines,cmp_TOP_BOTTOM_bias.png,v2,1,4950,58.2,0.0
Converging Lines,cmp_TOP_BOTTOM_bias.png,v3,1,4950,108.7,0.0
Converging Lines,cmp_TOP_BOTTOM_bias.png,orig,2,3844,153.69,12.17
Converging Lines,cmp_TOP_BOTTOM_bias.png,v1,2,3844,33.86,29.58
Converging Lines,cmp_TOP_BOTTOM_bias.png,v2,2,3844,40.87,17.33
Converging Lines,cmp_TOP_BOTTOM_bias.png,v3,2,3844,115.43,6.73
---,CATEGORY: SHADING AND ILLUMINATION,---,---,---,---,---
Shading and illumination,cmp_dragon.png,orig,1,1518,115.1,0.0
Shading and illumination,cmp_dragon.png,v1,1,1518,8.23,0.0
Shading and illumination,cmp_dragon.png,v2,1,1518,11.45,0.0
Shading and illumination,cmp_dragon.png,v3,1,1518,10.25,0.0
Shading and illumination,cmp_dragon.png,orig,2,2898,105.39,9.71
Shading and illumination,cmp_dragon.png,v1,2,2898,11.4,3.17
Shading and illumination,cmp_dragon.png,v2,2,2898,17.75,6.3
Shading and illumination,cmp_dragon.png,v3,2,2898,2.15,8.1
Shading and illumination,cmp_dragon_zoom.png,orig,1,24738,121.99,0.0
Shading and illumination,cmp_dragon_zoom.png,v1,1,24738,47.5,0.0
Shading and illumination,cmp_dragon_zoom.png,v2,1,24738,51.88,0.0
Shading and illumination,cmp_dragon_zoom.png,v3,1,24738,77.29,0.0
Shading and illumination,cmp_dragon_zoom.png,orig,2,26973,117.68,4.31
Shading and illumination,cmp_dragon_zoom.png,v1,2,26973,90.2,42.7
Shading and illumination,cmp_dragon_zoom.png,v2,2,26973,80.68,28.8
Shading and illumination,cmp_dragon_zoom.png,v3,2,26973,26.62,50.67
Shading and illumination,cmp_grid_bias.png,orig,1,3773,197.58,0.0
Shading and illumination,cmp_grid_bias.png,v1,1,3773,65.29,0.0
Shading and illumination,cmp_grid_bias.png,v2,1,3773,65.83,0.0
